Date,Coorong central lagoon 3.2km south Salt Creek,Coorong Sub Lagoon 12 Sth Salt Creek,Coorong central lagoon 1.8km west Salt Creek,Coorong central lagoon @ Snipe Point,Coorong central lagoon @ Seagull Island (Policemanâ€™s Point),Coorong Sub Lagoon 10 Nth Jack Point,Coorong central lagoon @ Stoney Well,Coorong central lagoon @ Villa de Yumpa,Coorong @ Parnka Point boat ramp,Coorong @ McGrath Flat north,Coorong Sub Lagoon 3 Long Point,Coorong Sub Lagoon 1 Tauwitchere
05/08/2014,57.6,17.9,82.2,92,115,73.2,68.6,90.4,70.7,52.5,7.17,28.8
19/08/2014,57.3,9.57,71.2,61.3,62,63.3,60.5,53.3,49.5,56.1,14.9,15.9
03/09/2014,33.4,19.4,42.6,42.5,38.6,30.7,25.3,16.9,16.5,24.4,8.42,17
16/09/2014,18.3,6.01,24.3,22.2,21.7,18.4,16.9,19.6,22.8,48,9.15,19.8
2/10/2014,22.4,9.84,29.9,30.9,30.3,29.2,30.1,31,28.8,25.6,24,28.3
15/10/2014,30.9,10.6,34.4,35.3,34,33.5,32.1,27.6,21.9,22.5,9.3,8.82
23/04/2015,71.4,104,91.5,99.8,72.3,52.1,52.5,42.2,31.5,13.1,3.02,30.2
21/05/2015,53,16.1,61.3,54.8,58.6,36.3,36.6,45.8,27.2,28,9.99,8.29
16/06/2015,34.6,27.2,41.5,49,44.9,43,52.9,58.2,21.7,49.1,1.74,11.9
16/07/2015,42,21.6,53.6,55.8,62.6,55.1,57,50.3,43.6,27.3,2.9,26.8
29/07/2015,24.5,39.2,44.1,44.9,38.3,28.8,36.2,33.7,42.6,12.2,3.52,43.5
14/08/2015,31.6,17.5,43.2,50.7,44.3,43.9,34,#N/A,18.1,8.91,5.3,14.1
28/08/2015,28.7,20.1,23.5,36.4,54.8,35.9,22.6,46.8,33.9,29,5.77,2.12
10/09/2015,#N/A,28.1,40.9,31.1,38.4,40.8,62.4,42.3,32.2,26.1,2.69,18.7
25/09/2015,21.6,21.3,26.8,29.2,26.4,31.9,41.2,33.4,23,#N/A,6.86,29.9
8/10/2015,14.6,15.5,18.3,20.3,19.1,32.7,29.9,59,33.4,31.9,3.04,27.8
28/10/2015,34,35.6,38.4,42,41.9,35.5,32.7,28.3,26.4,35.6,3.9,17.4
17/11/2015,35.3,52.2,56.2,59.3,70.5,67.5,49.1,38.6,34.7,38.3,1.7,13
10/12/2015,36.5,46.1,49.4,69.2,60.3,49.8,49.7,22.6,25.3,23.9,2.86,4.42
05/01/2016,17,61.8,56,54.3,54.3,66.2,66.3,54.8,35.9,26.8,1.24,4.59
11/02/2016,22.3,89.3,100,#N/A,77.9,54.6,53.3,#N/A,46.2,21.7,2.23,12
16/03/2016,34.2,114,#N/A,#N/A,95.4,66.9,56.9,21.9,11.7,14,25.2,0.46
12/04/2016,8.09,98.6,#N/A,#N/A,82.2,51.6,34.5,8.1,9.35,6.95,5.48,13.7
18/05/2016,44.3,39.8,#N/A,#N/A,36.1,27.3,35.9,43.5,57.5,33.3,4.28,6.97
08/06/2016,22.5,27.1,#N/A,#N/A,31.3,24.6,33.8,29.4,16.3,23.3,5.08,5.6
19/06/2018,57.5,13.4,59.4,78.6,71.1,100,54.3,17.1,27.9,43.9,1.38,22.4
11/07/2018,74.3,72.6,72.2,87,57.6,34.9,81.2,60.5,44.2,17.8,3.78,20.7
01/08/2018,48.1,49.1,60.5,56.6,82.8,50.1,48.6,36.3,5.22,4.42,2.15,1.67
21/08/2018,41,32,41.5,47.7,13.1,50.6,22.1,51.8,24.9,13.4,#N/A,27.4
04/09/2018,34.8,6.35,21.1,14.3,17.7,8.54,40.2,#N/A,#N/A,7.66,6.34,3.99
18/09/2018,1.36,6.26,26.8,6.79,23.5,10.8,#N/A,#N/A,26.5,6.27,1.98,#N/A
3/10/2018,6.98,15.6,17.8,30.1,6.22,38.1,34.3,#N/A,1.16,28.4,6.23,6.71
18/10/2018,24.8,2.68,44.4,38.6,#N/A,64.4,48,49.5,88,#N/A,#N/A,45.6
11/12/2018,19.4,36.9,30.8,42.7,34.3,28.8,30.8,34.9,33.2,39,3.61,30.3
10/01/2019,27.9,53.3,53,59.9,5.58,44.5,47.1,27.1,34.9,50.7,2.13,26.2
19/02/2019,21.8,42.2,79.7,50.9,48.3,67.8,49.5,21,25.9,15.7,1.75,13.1
19/03/2019,35.1,62.3,32.8,70.7,41.5,83.8,49.8,14.3,18,#N/A,1.86,10.3
17/04/2019,71.9,113,98.6,92.2,82.6,61.7,64.6,40.7,28.1,37.2,3.38,23.3